MT-ND6,YP_003024037,None
MT-ND5,YP_003024036,NC_012920.1
MT-ND4L,YP_003024034,NC_012920.1
MT-ND4,YP_003024035,NC_012920.1
MT-ND3,YP_003024033,NC_012920.1
MT-ND2,YP_003024027,NC_012920.1
MT-ND1,YP_003024026,NC_012920.1
MT-CYB,YP_003024038,NC_012920.1
MT-CO3,YP_003024032,NC_012920.1
MT-CO2,YP_003024029,NC_012920.1
MT-CO1,YP_003024028,NC_012920.1
MT-ATP8,YP_003024030,NC_012920.1
MT-ATP6,YP_003024031,NC_012920.1
DBT,NP_001909,NM_001918.5
PINK1,NP_115785,NM_032409.3
SCP2,NP_002970,NM_002979.5
SCP2,NP_001180528,NM_001193599.2
SCP2,NP_001180529,NM_001193600.2
SCP2,NP_001180546,NM_001193617.2
AURKAIP1,NP_060370,NM_017900.3
ACOT7,NP_863654,NM_181864.3
ACOT7,NP_009205,NM_007274.4
MFN2,NP_055689,NM_014874.4
MFN2,NP_001121132,NM_001127660.2
VPS13D,NP_056193,NM_015378.4
VPS13D,NP_060626,NM_018156.4
YRDC,NP_078916,NM_024640.4
NRDC,NP_001095132,NM_001101662.2
NRDC,NP_002516,NM_002525.3
NRDC,NP_001229290,NM_001242361.2
ACOT11,NP_671517,NM_147161.4
ACOT11,NP_056362,NM_015547.4
OMA1,NP_660286,NM_145243.5
AK4,NP_982289,NM_203464.3
AK4,NP_037542,NM_013410.4
AK4,NP_001005353,NM_001005353.3
MIGA1,NP_940951,NM_198549.4
MIGA1,NP_001257313,NM_001270384.2
ABCD3,NP_001116146,NM_001122674.2
ABCD3,NP_002849,NM_002858.4
WARS2,NP_957715,NM_201263.2
WARS2,NP_056651,NM_015836.4
HAO2,NP_057611,NM_016527.4
HAO2,NP_001005783,NM_001005783.3
TARS2,NP_079426,NM_025150.5
TARS2,NP_001258824,NM_001271895.2
TARS2,NP_001258825,NM_001271896.2
MPC2,NP_056230,NM_015415.3
MPC2,NP_001137146,NM_001143674.4
DARS2,NP_060592,NM_018122.5
GLRX2,NP_932066,NM_197962.3
GLRX2,NP_057150,NM_016066.4
GLRX2,NP_001230328,NM_001243399.2
MTARC1,NP_073583,NM_022746.4
COQ8A,NP_064632,NM_020247.5
TOMM20,NP_055580,NM_014765.3
