ID,Gene,Annotation
NP_000447,SUOX,"Chr_2	AUGUSTUS	gene	140134249	140146317	.	-	.	ID=Marm_14458;blast_id=""sp|P51687|SUOX_HUMAN"";interproscan_id=""IPR036374"";eggnog_id=""sulfite_oxidase_activity"""
NP_001003696,ATP5PF,"Chr_1	AUGUSTUS	gene	229049305	229057098	.	+	.	ID=Marm_01672;blast_id=""sp|P18859|ATP5J_HUMAN"";interproscan_id=""IPR008387"";eggnog_id=""ATP_synthesis_coupled_proton_transport"""
NP_001003697,ATP5PF,"Chr_1	AUGUSTUS	gene	229049305	229057098	.	+	.	ID=Marm_01672;blast_id=""sp|P18859|ATP5J_HUMAN"";interproscan_id=""IPR008387"";eggnog_id=""ATP_synthesis_coupled_proton_transport"""
NP_001003701,ATP5PF,"Chr_1	AUGUSTUS	gene	229049305	229057098	.	+	.	ID=Marm_01672;blast_id=""sp|P18859|ATP5J_HUMAN"";interproscan_id=""IPR008387"";eggnog_id=""ATP_synthesis_coupled_proton_transport"""
NP_001003703,ATP5PF,"Chr_1	AUGUSTUS	gene	229049305	229057098	.	+	.	ID=Marm_01672;blast_id=""sp|P18859|ATP5J_HUMAN"";interproscan_id=""IPR008387"";eggnog_id=""ATP_synthesis_coupled_proton_transport"""
NP_001007251,SCP2,"Chr_3	AUGUSTUS	gene	72333666	72368619	.	+	.	ID=Marm_17342;blast_id=""sp|P22307|SCP2_HUMAN"";interproscan_id=""IPR016039"";eggnog_id=""propanoyl-CoA_C-acyltransferase_activity"""
NP_001011700,MCCD1,"Chr_2	AUGUSTUS	gene	17624648	17670567	.	+	.	ID=Marm_11244;blast_id=""sp|Q96KQ7|EHMT2_HUMAN"";interproscan_id=""IPR038034"";eggnog_id=""Histone-lysine_N-methyltransferase"""
NP_001017989,OPA3,"Chr_13	AUGUSTUS	gene	26614831	26616822	.	-	.	ID=Marm_07512;blast_id=""sp|Q9H6K4|OPA3_HUMAN"";interproscan_id=""IPR010754"";eggnog_id=""optic_atrophy_3"""
NP_001027558,SUOX,"Chr_2	AUGUSTUS	gene	140134249	140146317	.	-	.	ID=Marm_14458;blast_id=""sp|P51687|SUOX_HUMAN"";interproscan_id=""IPR036374"";eggnog_id=""sulfite_oxidase_activity"""
NP_001027559,SUOX,"Chr_2	AUGUSTUS	gene	140134249	140146317	.	-	.	ID=Marm_14458;blast_id=""sp|P51687|SUOX_HUMAN"";interproscan_id=""IPR036374"";eggnog_id=""sulfite_oxidase_activity"""
NP_001035521,COA3,not found by blast
NP_001035703,TMEM70,not found by blast
